DATAFLOW,LAST UPDATE,freq,age,sex,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TESSI180(1.0),24/05/24 11:00:00,A,TOTAL,F,RAT,AL,2017,7.50,
ESTAT:TESSI180(1.0),24/05/24 11:00:00,A,TOTAL,F,RAT,AL,2018,7.05,
ESTAT:TESSI180(1.0),24/05/24 11:00:00,A,TOTAL,F,RAT,AL,2019,6.37,
ESTAT:TESSI180(1.0),24/05/24 11:00:00,A,TOTAL,F,RAT,AL,2020,5.86,
ESTAT:TESSI180(1.0),24/05/24 11:00:00,A,TOTAL,F,RAT,AL,2021,5.72,
ESTAT:TESSI180(1.0),24/05/24 11:00:00,A,TOTAL,F,RAT,AT,2005,3.80,
ESTAT:TESSI180(1.0),24/05/24 11:00:00,A,TOTAL,F,RAT,AT,2006,3.72,
ESTAT:TESSI180(1.0),24/05/24 11:00:00,A,TOTAL,F,RAT,AT,2007,3.80,
ESTAT:TESSI180(1.0),24/05/24 11:00:00,A,TOTAL,F,RAT,AT,2008,4.16,b
ESTAT:TESSI180(1.0),24/05/24 11:00:00,A,TOTAL,F,RAT,AT,2009,4.11,
ESTAT:TESSI180(1.0),24/05/24 11:00:00,A,TOTAL,F,RAT,AT,2010,4.31,
ESTAT:TESSI180(1.0),24/05/24 11:00:00,A,TOTAL,F,RAT,AT,2011,4.07,
ESTAT:TESSI180(1.0),24/05/24 11:00:00,A,TOTAL,F,RAT,AT,2012,4.15,
ESTAT:TESSI180(1.0),24/05/24 11:00:00,A,TOTAL,F,RAT,AT,2013,4.12,
ESTAT:TESSI180(1.0),24/05/24 11:00:00,A,TOTAL,F,RAT,AT,2014,4.14,
ESTAT:TESSI180(1.0),24/05/24 11:00:00,A,TOTAL,F,RAT,AT,2015,3.90,
ESTAT:TESSI180(1.0),24/05/24 11:00:00,A,TOTAL,F,RAT,AT,2016,3.98,
ESTAT:TESSI180(1.0),24/05/24 11:00:00,A,TOTAL,F,RAT,AT,2017,4.35,
ESTAT:TESSI180(1.0),24/05/24 11:00:00,A,TOTAL,F,RAT,AT,2018,4.01,
ESTAT:TESSI180(1.0),24/05/24 11:00:00,A,TOTAL,F,RAT,AT,2019,4.14,
ESTAT:TESSI180(1.0),24/05/24 11:00:00,A,TOTAL,F,RAT,AT,2020,4.04,
ESTAT:TESSI180(1.0),24/05/24 11:00:00,A,TOTAL,F,RAT,AT,2021,4.04,
ESTAT:TESSI180(1.0),24/05/24 11:00:00,A,TOTAL,F,RAT,AT,2022,4.17,
ESTAT:TESSI180(1.0),24/05/24 11:00:00,A,TOTAL,F,RAT,AT,2023,4.19,
ESTAT:TESSI180(1.0),24/05/24 11:00:00,A,TOTAL,F,RAT,BE,2005,3.78,
ESTAT:TESSI180(1.0),24/05/24 11:00:00,A,TOTAL,F,RAT,BE,2006,3.97,
ESTAT:TESSI180(1.0),24/05/24 11:00:00,A,TOTAL,F,RAT,BE,2007,3.84,
ESTAT:TESSI180(1.0),24/05/24 11:00:00,A,TOTAL,F,RAT,BE,2008,4.06,
ESTAT:TESSI180(1.0),24/05/24 11:00:00,A,TOTAL,F,RAT,BE,2009,3.89,
ESTAT:TESSI180(1.0),24/05/24 11:00:00,A,TOTAL,F,RAT,BE,2010,3.91,
ESTAT:TESSI180(1.0),24/05/24 11:00:00,A,TOTAL,F,RAT,BE,2011,3.83,
ESTAT:TESSI180(1.0),24/05/24 11:00:00,A,TOTAL,F,RAT,BE,2012,3.96,
ESTAT:TESSI180(1.0),24/05/24 11:00:00,A,TOTAL,F,RAT,BE,2013,3.72,
ESTAT:TESSI180(1.0),24/05/24 11:00:00,A,TOTAL,F,RAT,BE,2014,3.73,
ESTAT:TESSI180(1.0),24/05/24 11:00:00,A,TOTAL,F,RAT,BE,2015,3.68,
ESTAT:TESSI180(1.0),24/05/24 11:00:00,A,TOTAL,F,RAT,BE,2016,3.75,
ESTAT:TESSI180(1.0),24/05/24 11:00:00,A,TOTAL,F,RAT,BE,2017,3.80,
ESTAT:TESSI180(1.0),24/05/24 11:00:00,A,TOTAL,F,RAT,BE,2018,3.73,
ESTAT:TESSI180(1.0),24/05/24 11:00:00,A,TOTAL,F,RAT,BE,2019,3.55,b
ESTAT:TESSI180(1.0),24/05/24 11:00:00,A,TOTAL,F,RAT,BE,2020,3.57,
ESTAT:TESSI180(1.0),24/05/24 11:00:00,A,TOTAL,F,RAT,BE,2021,3.37,
ESTAT:TESSI180(1.0),24/05/24 11:00:00,A,TOTAL,F,RAT,BE,2022,3.49,
ESTAT:TESSI180(1.0),24/05/24 11:00:00,A,TOTAL,F,RAT,BE,2023,3.34,
ESTAT:TESSI180(1.0),24/05/24 11:00:00,A,TOTAL,F,RAT,BG,2006,5.09,b
ESTAT:TESSI180(1.0),24/05/24 11:00:00,A,TOTAL,F,RAT,BG,2007,6.95,
ESTAT:TESSI180(1.0),24/05/24 11:00:00,A,TOTAL,F,RAT,BG,2008,6.48,
ESTAT:TESSI180(1.0),24/05/24 11:00:00,A,TOTAL,F,RAT,BG,2009,5.96,
ESTAT:TESSI180(1.0),24/05/24 11:00:00,A,TOTAL,F,RAT,BG,2010,6.04,
ESTAT:TESSI180(1.0),24/05/24 11:00:00,A,TOTAL,F,RAT,BG,2011,6.55,
ESTAT:TESSI180(1.0),24/05/24 11:00:00,A,TOTAL,F,RAT,BG,2012,6.25,
ESTAT:TESSI180(1.0),24/05/24 11:00:00,A,TOTAL,F,RAT,BG,2013,6.72,
ESTAT:TESSI180(1.0),24/05/24 11:00:00,A,TOTAL,F,RAT,BG,2014,6.59,
ESTAT:TESSI180(1.0),24/05/24 11:00:00,A,TOTAL,F,RAT,BG,2015,6.90,
ESTAT:TESSI180(1.0),24/05/24 11:00:00,A,TOTAL,F,RAT,BG,2016,7.43,b
ESTAT:TESSI180(1.0),24/05/24 11:00:00,A,TOTAL,F,RAT,BG,2017,8.00,
ESTAT:TESSI180(1.0),24/05/24 11:00:00,A,TOTAL,F,RAT,BG,2018,7.41,
ESTAT:TESSI180(1.0),24/05/24 11:00:00,A,TOTAL,F,RAT,BG,2019,7.75,
ESTAT:TESSI180(1.0),24/05/24 11:00:00,A,TOTAL,F,RAT,BG,2020,7.87,
ESTAT:TESSI180(1.0),24/05/24 11:00:00,A,TOTAL,F,RAT,BG,2021,7.54,
ESTAT:TESSI180(1.0),24/05/24 11:00:00,A,TOTAL,F,RAT,BG,2022,7.20,
ESTAT:TESSI180(1.0),24/05/24 11:00:00,A,TOTAL,F,RAT,BG,2023,6.23,
ESTAT:TESSI180(1.0),24/05/24 11:00:00,A,TOTAL,F,RAT,CH,2007,4.65,
ESTAT:TESSI180(1.0),24/05/24 11:00:00,A,TOTAL,F,RAT,CH,2008,4.87,
ESTAT:TESSI180(1.0),24/05/24 11:00:00,A,TOTAL,F,RAT,CH,2009,4.75,
ESTAT:TESSI180(1.0),24/05/24 11:00:00,A,TOTAL,F,RAT,CH,2010,4.35,
ESTAT:TESSI180(1.0),24/05/24 11:00:00,A,TOTAL,F,RAT,CH,2011,4.42,
ESTAT:TESSI180(1.0),24/05/24 11:00:00,A,TOTAL,F,RAT,CH,2012,4.35,
ESTAT:TESSI180(1.0),24/05/24 11:00:00,A,TOTAL,F,RAT,CH,2013,4.16,
ESTAT:TESSI180(1.0),24/05/24 11:00:00,A,TOTAL,F,RAT,CH,2014,4.38,b
ESTAT:TESSI180(1.0),24/05/24 11:00:00,A,TOTAL,F,RAT,CH,2015,4.45,
ESTAT:TESSI180(1.0),24/05/24 11:00:00,A,TOTAL,F,RAT,CH,2016,4.29,
ESTAT:TESSI180(1.0),24/05/24 11:00:00,A,TOTAL,F,RAT,CH,2017,4.37,
ESTAT:TESSI180(1.0),24/05/24 11:00:00,A,TOTAL,F,RAT,CH,2018,4.27,
ESTAT:TESSI180(1.0),24/05/24 11:00:00,A,TOTAL,F,RAT,CH,2019,4.50,
ESTAT:TESSI180(1.0),24/05/24 11:00:00,A,TOTAL,F,RAT,CH,2020,4.73,
ESTAT:TESSI180(1.0),24/05/24 11:00:00,A,TOTAL,F,RAT,CH,2021,4.66,
ESTAT:TESSI180(1.0),24/05/24 11:00:00,A,TOTAL,F,RAT,CH,2022,4.76,
ESTAT:TESSI180(1.0),24/05/24 11:00:00,A,TOTAL,F,RAT,CY,2005,4.54,
ESTAT:TESSI180(1.0),24/05/24 11:00:00,A,TOTAL,F,RAT,CY,2006,4.47,
ESTAT:TESSI180(1.0),24/05/24 11:00:00,A,TOTAL,F,RAT,CY,2007,4.68,
ESTAT:TESSI180(1.0),24/05/24 11:00:00,A,TOTAL,F,RAT,CY,2008,4.48,b
ESTAT:TESSI180(1.0),24/05/24 11:00:00,A,TOTAL,F,RAT,CY,2009,4.45,
ESTAT:TESSI180(1.0),24/05/24 11:00:00,A,TOTAL,F,RAT,CY,2010,4.67,
ESTAT:TESSI180(1.0),24/05/24 11:00:00,A,TOTAL,F,RAT,CY,2011,4.50,
ESTAT:TESSI180(1.0),24/05/24 11:00:00,A,TOTAL,F,RAT,CY,2012,4.79,
ESTAT:TESSI180(1.0),24/05/24 11:00:00,A,TOTAL,F,RAT,CY,2013,4.98,
ESTAT:TESSI180(1.0),24/05/24 11:00:00,A,TOTAL,F,RAT,CY,2014,5.51,
ESTAT:TESSI180(1.0),24/05/24 11:00:00,A,TOTAL,F,RAT,CY,2015,5.18,
ESTAT:TESSI180(1.0),24/05/24 11:00:00,A,TOTAL,F,RAT,CY,2016,4.90,
ESTAT:TESSI180(1.0),24/05/24 11:00:00,A,TOTAL,F,RAT,CY,2017,4.63,
ESTAT:TESSI180(1.0),24/05/24 11:00:00,A,TOTAL,F,RAT,CY,2018,4.25,
ESTAT:TESSI180(1.0),24/05/24 11:00:00,A,TOTAL,F,RAT,CY,2019,4.66,
ESTAT:TESSI180(1.0),24/05/24 11:00:00,A,TOTAL,F,RAT,CY,2020,4.28,
ESTAT:TESSI180(1.0),24/05/24 11:00:00,A,TOTAL,F,RAT,CY,2021,4.31,
ESTAT:TESSI180(1.0),24/05/24 11:00:00,A,TOTAL,F,RAT,CY,2022,4.32,
ESTAT:TESSI180(1.0),24/05/24 11:00:00,A,TOTAL,F,RAT,CZ,2005,3.63,b
ESTAT:TESSI180(1.0),24/05/24 11:00:00,A,TOTAL,F,RAT,CZ,2006,3.54,
