DATAFLOW,LAST UPDATE,freq,sex,age,unit,isced11,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,AT,2000,,u
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,AT,2001,,u
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,AT,2002,,u
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,AT,2003,,u
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,AT,2004,20.0,b
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,AT,2005,20.6,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,AT,2006,19.3,b
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,AT,2007,18.9,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,AT,2008,20.0,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,AT,2009,22.5,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,AT,2010,22.6,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,AT,2011,22.4,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,AT,2012,24.3,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,AT,2013,26.6,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,AT,2014,41.1,b
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,AT,2015,41.5,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,AT,2016,43.2,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,AT,2017,44.4,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,AT,2018,44.9,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,AT,2019,45.9,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,AT,2020,45.7,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,AT,2021,46.8,b
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,AT,2022,47.6,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,AT,2023,48.1,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,BA,2021,32.9,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,BA,2022,32.4,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,BA,2023,32.2,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,BE,2000,38.9,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,BE,2001,41.1,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,BE,2002,42.6,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,BE,2003,42.8,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,BE,2004,45.3,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,BE,2005,45.5,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,BE,2006,47.3,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,BE,2007,47.0,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,BE,2008,48.5,b
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,BE,2009,48.7,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,BE,2010,49.4,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,BE,2011,48.4,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,BE,2012,50.1,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,BE,2013,49.4,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,BE,2014,51.4,b
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,BE,2015,49.2,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,BE,2016,50.8,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,BE,2017,51.4,b
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,BE,2018,54.2,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,BE,2019,54.6,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,BE,2020,56.2,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,BE,2021,57.8,b
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,BE,2022,58.6,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,BE,2023,57.3,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,BG,2000,24.3,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,BG,2001,29.7,b
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,BG,2002,30.2,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,BG,2003,31.4,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,BG,2004,31.6,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,BG,2005,31.3,
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,BG,2006,32.5,b
ESTAT:SDG_04_20(1.0),24/04/24 23:00:00,A,F,Y25-34,PC,ED5-8,BG,2007,32.0,
