DATAFLOW,LAST UPDATE,freq,n_item,unit,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,AL,2017,42.1,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,AL,2018,39.0,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,AL,2019,35.2,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,AL,2020,32.5,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,AL,2021,32.1,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,AT,2015,4.1,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,AT,2016,4.3,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,AT,2017,3.9,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,AT,2018,3.5,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,AT,2019,3.5,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,AT,2020,3.3,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,AT,2021,2.5,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,AT,2022,3.5,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,AT,2023,4.4,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,BE,2015,7.9,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,BE,2016,8.9,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,BE,2017,8.2,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,BE,2018,7.3,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,BE,2019,6.6,b
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,BE,2020,6.9,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,BE,2021,6.9,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,BE,2022,6.4,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,BE,2023,6.4,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,BG,2015,45.0,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,BG,2016,43.6,b
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,BG,2017,40.3,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,BG,2018,32.9,
ESTAT:TESSI080(1.0),24/05/24 14:14:00,A,GE7,PC,TOTAL,F,BG,2019,32.2,
